ISBN,Title,Author,Publisher,YearPublished,TotalCopies,AvailableCopies
9780000001001,Sample Book Title 1,Paulo Coelho,HarperCollins,1993,3,3
9780000001002,Sample Book Title 2,Khaled Hosseini,Penguin,2003,2,2
9780000001003,Sample Book Title 3,Paulo Coelho,HarperOne,1993,1,1
9780000001004,Sample Book Title 4,Andy Weir,Del Rey,2014,4,4
9780000001005,Sample Book Title 5,Delia Owens,Putnam,2018,2,2
9780000001006,Sample Book Title 6,J.K. Rowling,Bloomsbury,1997,5,5
9780000001007,Sample Book Title 7,George Orwell,Secker & Warburg,1949,2,2
9780000001008,Sample Book Title 8,Jane Austen,Thomas Egerton,1813,3,3
9780000001009,Sample Book Title 9,Mark Twain,Chatto & Windus,1884,2,2
9780000001010,Sample Book Title 10,Ernest Hemingway,Charles Scribner's Sons,1952,3,3
9780000001011,Sample Book Title 11,Fyodor Dostoevsky,The Russian Messenger,1866,2,2
9780000001012,Sample Book Title 12,Leo Tolstoy,The Russian Messenger,1877,2,2
9780000001013,Sample Book Title 13,Harper Lee,J.B. Lippincott & Co.,1960,1,1
9780000001014,Sample Book Title 14,Charlotte Bronte,Smith, Elder & Co.,1847,2,2
9780000001015,Sample Book Title 15,Charles Dickens,Chapman & Hall,1859,3,3
9780000001016,Sample Book Title 16,F. Scott Fitzgerald,Charles Scribner's Sons,1925,2,2
9780000001017,Sample Book Title 17,George R. R. Martin,Bantam Books,1996,4,4
9780000001018,Sample Book Title 18,Isabel Allende,Plaza & Janés,1987,2,2
9780000001019,Sample Book Title 19,Cormac McCarthy,Alfred A. Knopf,2006,2,2
9780000001020,Sample Book Title 20,Chimamanda Ngozi Adichie,Knopf,2003,3,3
9780000001021,Sample Book Title 21,Bernard Shaw,Archibald Constable,1900,1,1
9780000001022,Sample Book Title 22,Aldous Huxley,Chatto & Windus,1932,2,2
9780000001023,Sample Book Title 23,J.D. Salinger,Little, Brown and Company,1951,2,2
9780000001024,Sample Book Title 24,Virginia Woolf,Leonard & Virginia Woolf,1925,1,1
9780000001025,Sample Book Title 25,James Joyce,Shakespeare and Company,1922,2,2
9780000001026,Sample Book Title 26,Stephen King,Doubleday,1974,4,4
9780000001027,Sample Book Title 27,Neil Gaiman,HarperCollins,1996,3,3
9780000001028,Sample Book Title 28,George Eliot,William Blackwood,1871,1,1
9780000001029,Sample Book Title 29,Joseph Conrad,Blackwood's Magazine,1897,2,2
9780000001030,Sample Book Title 30,Arthur Conan Doyle,Beeton's Christmas Annual,1887,2,2
9780000001031,Sample Book Title 31,Victor Hugo,A. Lacroix, 1852,2,2
9780000001032,Sample Book Title 32,Emily Bronte,Thomas Cautley Newby,1847,1,1
9780000001033,Sample Book Title 33,Ray Bradbury,Simon & Schuster,1953,3,3
9780000001034,Sample Book Title 34,Kurt Vonnegut,Delacorte,1969,2,2
9780000001035,Sample Book Title 35,John Steinbeck,Viking Press,1939,2,2
